term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
faire son beurre	clitic	1	1	1	1.00	yes		
faire son chemin	clitic	1	1	1	1.00	yes		
faire son entrée	clitic	1	1	1	1.00	yes		
faire son maximum	clitic	1	1	1	1.00	yes		
faire son maximum	filled	1	1	1	1.00	yes		
faire son poids	filled	1	0	1	0.00	no	Tom fait environ le même poids que Mary.	fait … poids … Mary
gagner son pain	filled	1	0	1	0.00	no	La plus forte gagne.	La … gagne
jeter son dévolu	clitic	1	1	1	1.00	yes		
mettre sa main à couper	clitic	1	1	1	1.00	yes		
mouiller son lit	clitic	1	1	1	1.00	yes		
ne pas mâcher ses mots	clitic	1	1	1	1.00	yes		
paix à son âme	filled	1	0	1	0.00	no	Fichez la paix à Hitler.	paix … à … Hitler
pointer le bout de son nez	clitic	1	1	1	1.00	yes		
porter sa croix	clitic	1	1	1	1.00	yes		
pousser dans ses derniers retranchements	clitic	1	1	1	1.00	yes		
prendre ses aises	clitic	1	1	1	1.00	yes		
prendre ses cliques et ses claques	clitic	1	1	1	1.00	yes		
prendre ses désirs pour des réalités	clitic	1	1	1	1.00	yes		
prendre son courage à deux mains	clitic	1	1	1	1.00	yes		
prendre son mal en patience	clitic	1	1	1	1.00	yes		
prendre son pied	filled	1	0	1	0.00	no	Prends ton pied de biche.	Prends … pied … biche
ramener sa fraise	clitic	1	1	1	1.00	yes		
ramener ses fesses	clitic	1	1	1	1.00	yes		
régler ses comptes	filled	1	0	1	0.00	no	Je règle les comptes de la Famille.	règle … comptes … Famille
signer son arrêt de mort	clitic	1	1	1	1.00	yes		
sur son trente-et-un	clitic	1	1	1	1.00	yes		
taire sa gueule	clitic	1	1	1	1.00	yes		
valoir son pesant d'or	clitic	1	1	1	1.00	yes		
vivre avec son temps	clitic	1	1	1	1.00	yes		
