37564	三	七	五	六	四
4コマ漫画	四	齣	漫画
CM	commercial	message
ヒポクラテスの誓い	ヒポクラテス	の	誓い
ヒマラヤ熊	ヒマラヤ	熊
ビフォーコロナ	before	コロナ
ピエロ恐怖症	ピエロ	恐怖症
ピカチュウ	ピカ	チュー
ピコメートル	ピコ	メートル
ピタゴラスの定理	ピタゴラス	の	定理
ピンぞろ	ピン	ぞろ
ファイル転送プロトコル	ファイル	転送	プロトコル
ファッションヘルス	ファッション	ヘルス
フィッシャー投影式	フィッシャー	投影式
フィリピン共和国	フィリピン	共和国
フィリピン英語	フィリピン	英語
フェニルケトン尿症	フェニル	ケトン	尿症
フェネック狐	フェネック	狐
フェルミ゠ディラック統計	フェルミ	ディラック	統計
フォーカード	フォー	カード
フッ素	弗	素
フランスパン	フランス	パン
フランス窓	フランス	窓
フランス領ポリネシア	フランス	領	ポリネシア
フルボッコ	フル	ぼこぼこ
フルーツトマト	フルーツ	トマト
ブヒる	ブヒ	る
ブラジルカイマン	ブラジル	カイマン
ブラジル帝国	ブラジル	帝国
ブラック企業	ブラック	企業
ブルグント王国	ブルグント	王国
ブルゴーニュ公国	ブルゴーニュ	公国
ブルゴーニュ領ネーデルラント	ブルゴーニュ	領	ネーデルラント
ブンゼンバーナー	Bunsen	burner
ブーブークッション	ぶうぶう	cushion
プエルトリコ自治連邦区	プエルトリコ	自治	連邦	区
プラごみ	プラ	ごみ
プラゴミ	プラ	ゴミ
プラスチックごみ	プラスチック	ごみ
プラスチックゴミ	プラスチック	ゴミ
プラトン主義	プラトン	主義
プロパルギル基	プロパルギル	基
ヘモる	hemorrhage	る
ヘ短調	ヘ	短調
ヘ長調	ヘ	長調
ベクトル積	ベクトル	積
ベジェ曲線	ベジェ	曲線
ベトナム戦争	ベトナム	戦争
ベルギー王国	ベルギー	王国
ベンガル狐	ベンガル	狐
ベンジル基	English benzyl	基
ベン図	ベン	図
ベータ粒子	ベータ	粒子
ペルー共和国	ペルー	共和国
ペロリスト	ぺろり	ist
ホウ素	硼	素
ホルモン焼き	ホルモン	焼き
ホーコー鍋	火鍋	鍋
ホ短調	ホ	短調
ホ長調	ホ	長調
ボース゠アインシュタイン統計	ボース	アインシュタイン	統計
ポケットモンスター	ポケット	モンスター
ポストコロナ	post	コロナ
ポリウレタン線	ポリウレタン	線
ポリ塩化ビニル	ポリ	塩化	ビニル
ポルトガル領ギニア	ポルトガル	領	ギニア
ポーランド記法	ポーランド	記法
マクる	マク	る
マケドニア旧ユーゴスラビア共和国	マケドニア	旧	ユーゴスラビア	共和国
マスコミュニケーション	マス	コミュニケーション
マスメディア	マス	メディア
マテガイ	真手	貝
ママチャリ	ママ	チャリ
ママ友	ママ	友
マル暴	丸	暴
マレーアカニシキヘビ	マレー	赤	ニシキヘビ
マレーバク	マレー	獏
マンゴージュース	マンゴー	ジュース
マンデラ効果	マンデラ	効果
マーシャル諸島	マーシャル	諸島
マーシャル諸島共和国	マーシャル諸島	共和国
ミクロネシア連邦	ミクロネシア	連邦
ミシシッピ鰐	ミシシッピ	鰐
ミシン目	ミシン	目
ミツアナグマ	蜜	穴熊
ミナミコアリクイ	南	コアリクイ
ミニ豚	ミニ	豚
ミネストローネ	minestra	one
ミンコフスキー時空	ミンコフスキー	時空
ムール貝	moule	貝
メキシコオオカミ	メキシコ	狼
メタラー	メタル	er
メタン系炭化水素	メタン	系
メビウスの帯	メビウス	の	帯
メリケンサック	メリケン	サック
メリケン粉	メリケン	粉
メリヤス編み	メリヤス	編む
メール便	メール	便
モウコガゼル	蒙古	ガゼル
モナコ公国	モナコ	公国
モノのインターネット	物	の	インターネット
モノアイ	モノ	アイ
モヒカン刈り	モヒカン	刈り
モーリシャス共和国	モーリシャス	共和国
ヤリチン	やる	ちん
ヤリマン	やる	まん
ヤンキー座り	ヤンキー	座り
ユダヤ主義	ユダヤ	主義
ユークリッド幾何	ユークリッド	幾何
ユーゴスラビア王国	ユーゴスラビア	王国
ユーゴスラビア社会主義連邦共和国	ユーゴスラビア	社会主義	連邦	共和国
ユーフラテス川	ユーフラテス	川
ヨウ素	沃	素
ヨーク家	ヨーク	家
ヨーロッパオオカミ	ヨーロッパ	狼
ヨーロッパオオヤマネコ	ヨーロッパ	オオヤマネコ
ヨーロッパコマドリ	ヨーロッパ	コマドリ
ライジングスター	ライジング	スター
ライスワーク	rice	work
ライフル射撃競技	ライフル	射撃
ラジオカセ	ラジオ	カセット
ラップトップパソコン	ラップトップ	パソコン
ラピスラズリ	lapis	lazulī
ランドルト環	ランドルト	環
ラーメン屋	ラーメン	屋
ラ行変格活用	ラ行	変格活用
リヒテンシュタイン公国	リヒテンシュタイン	公国
リボルビングばらい	revolving	払い
リモート表示	リモート	表示
リンク切れ	リンク	切れ
リンゴジュース	リンゴ	ジュース
リンパ液	リンパ	液
リーマン幾何	リーマン	幾何
ルガンスク人民共和国	ルガンスク	人民共和国
ルクセンブルク主義	ルクセンブルク	主義
ルクセンブルク市	ルクセンブルク	市
レジスター係	レジスター	係
レジャーランド	レジャー	ランド
レジ打ち	レジ	打ち
レベルアップ	レベル	アップ
レモンジュース	レモン	ジュース
レンチン	電子レンジ	チン
ロケット鉛筆	ロケット	鉛筆
ロシア帝国	ロシア	帝国
ロンドン地下鉄	ロンドン	地下鉄
ローマン体	ローマン	体
ローマ・カトリック教会	ローマ	カトリック教会
ローマ字	ローマ	字
ロールシャッハ・テスト	ロールシャッハ	テスト
ロ短調	ロ	短調
ロ長調	ロ	長調
ワインビネガー	ワイン	ビネガー
ワイン圧搾機	ワイン	圧搾機
ワンちゃん	ワン	ちゃん
ワンコ	ワン	子
ワン切り	ワン	切り
ヴァージン諸島	virgin	諸島
㌠	さん	チーム
一つ目小僧	一つ目	小僧
一世一元	一世	一元
一事不再理	一事	不	再理
一人	一	人
一人部屋	一人	部屋
一仕事	一	仕事
一件書類	一件	書類
一位	一	位
一億	一	億
一刻も早く	一刻	も	早く
一吹き	一	吹き
一味同心	一味	同心
一回	一	回
一塁	一	塁
一夫一婦制	一夫一婦	制
一女	一	女
一括払い	一括	払い
一挙手一投足	一挙手	一投足
一揃い	一	揃
一文無し	一	文	無し
一日	月	立ち
一日千秋	一日	千秋
一昨日	一昨	日
一時払い	一時	払い
一時期	一	時期
一月	一	月
一本	一	本
一杯食わす	一杯	食わす
一次元配列	一次元	配列
一汁一菜	一汁	一菜
一泊	一	泊
一泡吹かせる	一泡	吹かせる
一番	一	番
一目惚れ	一目	惚れる
一矢を報いる	一矢	を	報いる
一票	一	票
一秭	一	秭
一致結束	一致	結束
一輪車	一	輪	車
七つの海	七つ	の	海
七不思議	七	不思議
七人	七	人
七十五日	七十五	日
七回	七	回
七対子	七	対子
七日鮫	七日	鮫
万世不易	万世	不易
万代不易	万代	不易
万古不易	万古	不易
万国博覧会	万国	博覧会
万年筆	万年	筆
万有引力	万有	引力
万歩計	万	歩	計
万歳突撃	万歳	突撃
万華鏡	万	華	鏡
万葉仮名	万葉	仮名
万葉集	万葉	集
三つ目小僧	三つ目	小僧
三乗	さん	乗
三乗根	三乗	根
三人	三	人
三元牌	三元	牌
三十	三	十
三十日	三十	日
三原色	三	原色
三叉	三つ	叉
三味線貝	三味線	貝
三和	三	和
三回	三	回
三塁	三	塁
三女	三	女
三振	三	振
三日坊主	三日	坊主
三日天下	三日	天下
三日月	三日	月
三月	三	月
三浦	三	浦
三男	三	男
三線	三	線
三菱	三つ	菱
三葉機	三	葉	機
三角定規	三角	定規
三角柱	三	角柱
三角錐	三角	錐
三角関数	三角	関数
三重水素	三	重水素
三重県	三重	県
三陸地震	三陸	地震
上一段活用	上	一段活用
上下	上げ	下ろし
上二段活用	上	二段活用
上代特殊仮名遣	上代	特殊	仮名遣い
上品振る	上品	振る
上園	上	園
上巻	上	巻
上手	上	手
上書き	上	書き
上村	上	村
上水道	上	水道
上級国民	上級	国民
上野	上	野
上陸班	上陸	班
下の下	下	の	下
下一段活用	下	一段活用
下手	下	手
下手糞	下手	糞
下方	下	方
下瀬火薬	下瀬	火薬
下足	下	足
下野	下	野
不仲説	不仲	説
不信実	不	信実
不倫妻	不倫	妻
不可欠アミノ酸	不可欠	アミノ酸
不可欠脂肪酸	不可欠	脂肪酸
不可逆	不	可逆
不同	不	同
不定冠詞	不定	冠詞
不幸中の幸い	不幸	中	の	幸い
不当廉売	不当	廉売
不思議の国のアリス症候群	不思議の国のアリス	症候群
不断草	不断	草
不死身	不死	身
不相応	不	相応
不確か	不	確か
不祥事	不祥	事
